Variable,Coefficient,Odds Ratio,p-value,95% CI
const,-0.786301725988096,0.4555263451937766,0.9016460376329756,"(0.0000, 118672.2912)"
ASM,0.19203676888195526,1.211715069554177,0.0002936895452005614,"(1.0921, 1.3445)"
EILC,0.17652033864426372,1.1930586917091552,0.00663722302910152,"(1.0503, 1.3552)"
HCL,0.44794295606462603,1.5650894142476637,0.9987342197648492,"(0.0000, 3470723016295165657678059627020431788095320682469419916804994706541527202252638217778162465718350330492705667034720823854624304321845072235570704482886551681875243689405634501134480814783326929682149638713026808768546915192004046822827884544.0000)"
LRA,-0.12927699894898684,0.8787305243989677,0.005273528185408487,"(0.8024, 0.9623)"
MMM,-0.24501418884994475,0.782693432643412,0.0022646716529105756,"(0.6688, 0.9160)"
NCOE,0.11854767616801451,1.1258605495391765,0.0007995206522379105,"(1.0505, 1.2066)"
NHE,-0.06554895055460336,0.9365532008389488,0.18834626545375643,"(0.8494, 1.0326)"
NSL,0.39592052772133424,1.4857512368230588,5.453126417439391e-05,"(1.2258, 1.8008)"
NURP,-0.277486068665068,0.7576861201085606,0.002093770177214667,"(0.6349, 0.9042)"
PEO,-0.013520296894885195,0.9865706917928874,0.7064906706549907,"(0.9195, 1.0585)"
TMC,0.130964033215008,1.1399267810732299,0.0004001445897684877,"(1.0602, 1.2257)"
TMS,0.05080260605660307,1.0521151916177718,0.14711144571422904,"(0.9823, 1.1269)"
UNMD,0.00014592098522707742,1.0001459316322119,0.9981027038287669,"(0.8868, 1.1280)"
UNMI,0.0488486557083599,1.0500614179120709,0.2138621654350964,"(0.9722, 1.1341)"
UP,0.02642684679095791,1.0267791323257593,0.42218257400407777,"(0.9626, 1.0952)"
