project,file,ASM,EILC,HCL,LRA,MMM,NCOE,NHE,NSL,NURP,PEO,TMC,TMS,UNMD,UNMI,UP,Changed,previous_fixes,code_churn,loc
webrtc-v0.6.0,webrtc-jni/src/main/cpp/src/media/video/VideoDevice.cpp,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,68
webrtc-v0.6.0,webrtc-jni/src/main/cpp/dependencies/jni-voithos/src/JavaUtils.cpp,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,140
webrtc-v0.6.0,webrtc-jni/src/main/cpp/src/api/DataBufferFactory.cpp,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,38
webrtc-v0.6.0,webrtc/src/main/java/dev/onvoid/webrtc/PeerConnectionFactory.java,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,175
webrtc-v0.6.0,webrtc-jni/src/main/cpp/src/api/RTCPeerConnectionIceErrorEvent.cpp,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
webrtc-v0.6.0,webrtc/src/main/java/dev/onvoid/webrtc/RTCRtpReceiver.java,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,86
webrtc-v0.6.0,webrtc-jni/src/main/cpp/dependencies/jni-voithos/include/jni/jni.h,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1959
webrtc-v0.6.0,webrtc/src/main/java/dev/onvoid/webrtc/RTCDtlsTransport.java,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,77
webrtc-v0.6.0,webrtc/src/main/java/dev/onvoid/webrtc/RTCRtpSender.java,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,105
webrtc-v0.6.0,webrtc/src/main/java/dev/onvoid/webrtc/RTCDataChannel.java,0,2,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,178
webrtc-v0.6.0,webrtc/src/main/java/dev/onvoid/webrtc/media/audio/AudioProcessing.java,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,166
webrtc-v0.6.0,webrtc-jni/src/main/cpp/src/JNI_VideoCapture.cpp,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,122
webrtc-v0.6.0,webrtc-jni/src/main/cpp/src/media/video/desktop/DesktopFrame.cpp,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,57
webrtc-v0.6.0,webrtc/src/main/java/dev/onvoid/webrtc/media/audio/AudioConverter.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,105
webrtc-v0.6.0,webrtc-jni/src/main/cpp/src/media/Device.cpp,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,81
webrtc-v0.6.0,webrtc-jni/src/main/cpp/src/media/audio/AudioDevice.cpp,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,56
webrtc-v0.6.0,webrtc-jni/src/main/cpp/src/api/RTCRtcpParameters.cpp,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
webrtc-v0.6.0,webrtc/src/main/java/dev/onvoid/webrtc/media/MediaDevices.java,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,54
webrtc-v0.6.0,webrtc-jni/src/main/cpp/src/api/VideoTrackSink.cpp,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,10,62
webrtc-v0.6.0,webrtc/src/main/java/dev/onvoid/webrtc/media/video/desktop/DesktopCapturer.java,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,70
webrtc-v0.6.0,webrtc-jni/src/main/cpp/dependencies/jni-voithos/src/JavaRectangle.cpp,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
webrtc-v0.6.0,webrtc-jni/src/main/cpp/src/api/RTCAnswerOptions.cpp,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
webrtc-v0.6.0,webrtc/src/main/java/dev/onvoid/webrtc/RTCPeerConnection.java,0,2,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,340
