project,file,ASM,EILC,HCL,LRA,MMM,NCOE,NHE,NSL,NURP,PEO,TMC,TMS,UNMD,UNMI,UP,Changed,previous_fixes,code_churn,loc
wolfcrypt-v1.7.0-stable,src/main/java/com/wolfssl/wolfcrypt/Aes.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,172
wolfcrypt-v1.7.0-stable,src/main/java/com/wolfssl/wolfcrypt/Fips.java,0,36,0,0,0,0,0,0,0,0,1,0,0,22,0,1,4,2295,2123
wolfcrypt-v1.7.0-stable,src/main/java/com/wolfssl/wolfcrypt/FeatureDetect.java,0,5,0,0,0,0,0,3,3,0,1,0,0,4,0,1,5,2,336
wolfcrypt-v1.7.0-stable,src/main/java/com/wolfssl/wolfcrypt/Hmac.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,2,374
wolfcrypt-v1.7.0-stable,src/main/java/com/wolfssl/wolfcrypt/Chacha.java,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,2,199
wolfcrypt-v1.7.0-stable,jni/jni_native_struct.c,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9,2,196
wolfcrypt-v1.7.0-stable,jni/jni_fips.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12,369,4328
wolfcrypt-v1.7.0-stable,src/main/java/com/wolfssl/wolfcrypt/Asn.java,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,95
wolfcrypt-v1.7.0-stable,src/main/java/com/wolfssl/wolfcrypt/Des3.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,158
wolfcrypt-v1.7.0-stable,src/main/java/com/wolfssl/wolfcrypt/Logging.java,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,2,2,43
wolfcrypt-v1.7.0-stable,src/main/java/com/wolfssl/wolfcrypt/WolfCrypt.java,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,183
wolfcrypt-v1.7.0-stable,src/main/java/com/wolfssl/wolfcrypt/Rng.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,163
wolfcrypt-v1.7.0-stable,src/main/java/com/wolfssl/wolfcrypt/WolfObject.java,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,1,3,16,82
wolfcrypt-v1.7.0-stable,src/main/java/com/wolfssl/wolfcrypt/Pwdbased.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,134
wolfcrypt-v1.7.0-stable,src/main/java/com/wolfssl/wolfcrypt/Curve25519.java,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4,2,357
wolfcrypt-v1.7.0-stable,src/main/java/com/wolfssl/wolfcrypt/NativeStruct.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,2,121
wolfcrypt-v1.7.0-stable,src/main/java/com/wolfssl/wolfcrypt/Rsa.java,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,4,2,701
wolfcrypt-v1.5.0-stable,src/main/java/com/wolfssl/wolfcrypt/Aes.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,52,151
wolfcrypt-v1.5.0-stable,src/main/java/com/wolfssl/wolfcrypt/Des3.java,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,43,137
wolfcrypt-v1.5.0-stable,src/main/java/com/wolfssl/wolfcrypt/Fips.java,0,36,0,0,0,0,0,0,0,0,1,0,0,22,0,1,3,6,1757
wolfcrypt-v1.5.0-stable,src/main/java/com/wolfssl/wolfcrypt/Logging.java,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,2,6,43
wolfcrypt-v1.5.0-stable,src/main/java/com/wolfssl/wolfcrypt/Chacha.java,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,6,114
wolfcrypt-v1.5.0-stable,jni/jni_native_struct.c,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8,19,163
wolfcrypt-v1.5.0-stable,src/main/java/com/wolfssl/wolfcrypt/FeatureDetect.java,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,4,224,285
wolfcrypt-v1.5.0-stable,src/main/java/com/wolfssl/wolfcrypt/Sha512.java,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,77,195
wolfcrypt-v1.5.0-stable,src/main/java/com/wolfssl/wolfcrypt/Curve25519.java,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,6,244
wolfcrypt-v1.5.0-stable,jni/jni_fips.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10,256,3819
wolfcrypt-v1.5.0-stable,src/main/java/com/wolfssl/wolfcrypt/Rng.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,62,159
wolfcrypt-v1.5.0-stable,src/main/java/com/wolfssl/wolfcrypt/Hmac.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,231,383
wolfcrypt-v1.5.0-stable,src/main/java/com/wolfssl/wolfcrypt/WolfObject.java,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,3,40,74
wolfcrypt-v1.5.0-stable,src/main/java/com/wolfssl/wolfcrypt/NativeStruct.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,31,109
wolfcrypt-v1.5.0-stable,src/main/java/com/wolfssl/wolfcrypt/Asn.java,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,6,70
wolfcrypt-v1.6.0-stable,src/main/java/com/wolfssl/wolfcrypt/Aes.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,29,172
wolfcrypt-v1.6.0-stable,src/main/java/com/wolfssl/wolfcrypt/Fips.java,0,36,0,0,0,0,0,0,0,0,1,0,0,22,0,1,4,21,1774
wolfcrypt-v1.6.0-stable,src/main/java/com/wolfssl/wolfcrypt/FeatureDetect.java,0,5,0,0,0,0,0,3,3,0,1,0,0,3,0,1,5,51,336
wolfcrypt-v1.6.0-stable,src/main/java/com/wolfssl/wolfcrypt/Hmac.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,213,374
wolfcrypt-v1.6.0-stable,src/main/java/com/wolfssl/wolfcrypt/Chacha.java,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,159,199
wolfcrypt-v1.6.0-stable,jni/jni_native_struct.c,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9,38,196
