Variable,Coefficient,Odds Ratio,p-value,95% CI
const,3.25366256408908,25.884971882051325,0.9998873597608583,"(0.0000, inf)"
EILC,57.03065661269657,5.862724227718718e+24,0.9987271595694825,"(0.0000, inf)"
UNMD,-52.8082013006777,1.1632942351005498e-23,0.9986885366954673,"(0.0000, inf)"
