project_name,jni_file_count
conscrypt-1.0.0.RC11,13
conscrypt-1.0.0.RC14,13
conscrypt-1.0.0.RC2,13
conscrypt-1.0.0.RC8,13
conscrypt-1.0.1,13
conscrypt-1.0.2,13
conscrypt-1.1.1,13
conscrypt-1.2.0,13
conscrypt-1.4.2,13
conscrypt-2.1.0,13
java-smt-0.60,2
java-smt-1.0.1,3
java-smt-2.0.0,3
java-smt-2.0.0-alpha,3
java-smt-3.0.0,3
javacpp-0.5,12
javacpp-0.9,12
javacpp-1.1,14
javacpp-1.2,13
javacpp-1.2.1,13
javacpp-1.2.7,13
javacpp-1.3,13
javacpp-1.3.2,14
javacpp-1.4,15
javacpp-1.4.2,16
javacpp-1.4.4,18
javacpp-1.5,18
javacpp-1.5.1-1,18
jpype-v0.5.4.5,4
jpype-v0.5.5.1,4
jpype-v0.5.5.4,4
jpype-v0.5.6,4
jpype-v0.5.7,5
jpype-v0.6.0,5
jpype-v0.6.1,5
jpype-v0.6.2,5
jpype-v0.6.3,5
jpype-v0.7,7
pljava-rel1_5_stable-base,50
pljava-V1_4_3,50
pljava-V1_5_0,48
pljava-V1_5_0b3,48
pljava-V1_5_1b1,46
pljava-V1_5_1b2,52
pljava-V1_5_2,52
pljava-V1_5_3,47
realm-java-v0.90.0,44
realm-java-v1.2.0,32
realm-java-v2.3.2,49
realm-java-v3.7.2,64
realm-java-v4.4.0,67
realm-java-v5.11.0,79
realm-java-v5.15.0,81
realm-java-v5.4.0,70
realm-java-v5.7.1,72
realm-java-v5.9.0,77
rocksdb-v5.0.2,86
rocksdb-v5.11.2,121
rocksdb-v5.14.3,123
rocksdb-v5.17.2,125
rocksdb-v5.18.3,130
rocksdb-v5.4.6,93
rocksdb-v5.6.2,93
rocksdb-v5.9.2,103
rocksdb-v6.1.1,152
rocksdb-v6.2.2,152
vlc-3.0.0,57
vlc-3.0.11,57
vlc-3.0.13,57
vlc-3.0.92,33
vlc-3.0.96,33
vlc-3.1.0,33
vlc-3.1.2,33
vlc-3.1.6,33
vlc-3.1.7,33
zstd-jni-v0.4.4,6
zstd-jni-v1.3.0-1,14
zstd-jni-v1.3.2-2,14
zstd-jni-v1.3.3-1,14
zstd-jni-v1.3.4-1,15
zstd-jni-v1.3.4-8,15
zstd-jni-v1.3.5-3,15
zstd-jni-v1.3.7-1,15
zstd-jni-v1.3.8-1,15
zstd-jni-v1.4.0-1,15
zstd-jni-v1.4.2-1,15
