,Coefficient,P-value,Odds Ratio,Lower 95% CI,Upper 95% CI
const,-1.2166733409145933,4.803142931296486e-07,0.2962139324601276,0.18444978912370083,0.47569961559917334
NHE,0.06480745742840256,0.6032213053783888,1.066953570621267,0.8356305723421777,1.3623124375053595
MMM,1.2167078399834748,0.07232960670269163,3.3760549051776705,0.8955553618170262,12.727015222876773
EILC,0.030664308233731678,0.0016345758632087442,1.0311393008078555,1.0116499558080712,1.05100410627827
