project_name,jni_file_count,faulty_file_count,percentage
conscrypt-1.0.0.RC11,13,3,23.08
conscrypt-1.0.0.RC14,13,7,53.85
conscrypt-1.0.0.RC2,13,1,7.69
conscrypt-1.0.0.RC8,13,9,69.23
conscrypt-1.0.1,13,6,46.15
conscrypt-1.0.2,13,0,0.00
conscrypt-1.1.1,13,2,15.38
conscrypt-1.2.0,13,4,30.77
conscrypt-1.4.2,13,6,46.15
conscrypt-2.1.0,13,2,15.38
java-smt-0.60,2,1,50.00
java-smt-1.0.1,3,2,66.67
java-smt-2.0.0,3,0,0.00
java-smt-2.0.0-alpha,3,1,33.33
java-smt-3.0.0,3,1,33.33
javacpp-0.5,12,12,100.00
javacpp-0.9,12,12,100.00
javacpp-1.1,14,3,21.43
javacpp-1.2,13,11,84.62
javacpp-1.2.1,13,13,100.00
javacpp-1.2.7,13,12,92.31
javacpp-1.3,13,8,61.54
javacpp-1.3.2,14,3,21.43
javacpp-1.4,15,4,26.67
javacpp-1.4.2,16,3,18.75
javacpp-1.4.4,18,1,5.56
javacpp-1.5,18,3,16.67
javacpp-1.5.1-1,18,2,11.11
jpype-v0.5.4.5,4,4,100.00
jpype-v0.5.5.1,4,2,50.00
jpype-v0.5.5.4,4,0,0.00
jpype-v0.5.6,4,1,25.00
jpype-v0.5.7,5,1,20.00
jpype-v0.6.0,5,0,0.00
jpype-v0.6.1,5,2,40.00
jpype-v0.6.2,5,3,60.00
jpype-v0.6.3,5,1,20.00
jpype-v0.7,7,2,28.57
pljava-rel1_5_stable-base,50,8,16.00
pljava-V1_4_3,50,9,18.00
pljava-V1_5_0,48,10,20.83
pljava-V1_5_0b3,48,0,0.00
pljava-V1_5_1b1,46,19,41.30
pljava-V1_5_1b2,52,3,5.77
pljava-V1_5_2,52,28,53.85
pljava-V1_5_3,47,10,21.28
realm-java-v0.90.0,44,30,68.18
realm-java-v1.2.0,32,7,21.88
realm-java-v2.3.2,49,46,93.88
realm-java-v3.7.2,64,37,57.81
realm-java-v4.4.0,67,8,11.94
realm-java-v5.11.0,79,8,10.13
realm-java-v5.15.0,81,2,2.47
realm-java-v5.4.0,70,9,12.86
realm-java-v5.7.1,72,12,16.67
realm-java-v5.9.0,77,13,16.88
rocksdb-v5.0.2,86,47,54.65
rocksdb-v5.11.2,121,17,14.05
rocksdb-v5.14.3,123,10,8.13
rocksdb-v5.17.2,125,18,14.40
rocksdb-v5.18.3,130,43,33.08
rocksdb-v5.4.6,93,82,88.17
rocksdb-v5.6.2,93,26,27.96
rocksdb-v5.9.2,103,20,19.42
rocksdb-v6.1.1,152,12,7.89
rocksdb-v6.2.2,152,7,4.61
vlc-3.0.0,57,8,14.04
vlc-3.0.11,57,11,19.30
vlc-3.0.13,57,18,31.58
vlc-3.0.92,33,7,21.21
vlc-3.0.96,33,0,0.00
vlc-3.1.0,33,2,6.06
vlc-3.1.2,33,3,9.09
vlc-3.1.6,33,2,6.06
vlc-3.1.7,33,8,24.24
zstd-jni-v0.4.4,6,6,100.00
zstd-jni-v1.3.0-1,14,0,0.00
zstd-jni-v1.3.2-2,14,2,14.29
zstd-jni-v1.3.3-1,14,2,14.29
zstd-jni-v1.3.4-1,15,2,13.33
zstd-jni-v1.3.4-8,15,4,26.67
zstd-jni-v1.3.5-3,15,5,33.33
zstd-jni-v1.3.7-1,15,8,53.33
zstd-jni-v1.3.8-1,15,7,46.67
zstd-jni-v1.4.0-1,15,3,20.00
zstd-jni-v1.4.2-1,15,7,46.67
