Project,FileName,LOC,CodeChurn,PrevFixing
jpype-v0.5.4.5,src/python/jpype/nio.py,23,26,0
jpype-v0.5.4.5,src/python/jpype/reflect.py,38,46,0
jpype-v0.5.4.5,src/python/jpypex/__init__.py,17,19,0
jpype-v0.5.4.5,src/native/common/include/jp_array.h,49,62,0
jpype-v0.5.4.5,src/native/common/include/jp_arrayclass.h,35,45,0
jpype-v0.5.4.5,src/native/common/include/jp_class.h,85,107,0
jpype-v0.5.4.5,src/native/common/include/jp_classbase.h,40,50,0
jpype-v0.5.4.5,src/native/common/include/jp_env.h,103,132,0
jpype-v0.5.4.5,src/native/common/include/jp_field.h,58,74,0
jpype-v0.5.4.5,src/native/common/include/jp_hostenv.h,117,153,0
jpype-v0.5.4.5,src/native/common/include/jp_invocationhandler.h,17,23,0
jpype-v0.5.4.5,src/native/common/include/jp_javaenv.h,113,150,0
jpype-v0.5.4.5,src/native/common/include/jp_javaenv_autogen.h,329,468,0
jpype-v0.5.4.5,src/native/common/include/jp_jniutil.h,144,184,0
jpype-v0.5.4.5,src/native/common/include/jp_method.h,52,71,0
jpype-v0.5.4.5,src/native/common/include/jp_methodoverload.h,58,77,0
jpype-v0.5.4.5,src/native/common/include/jp_monitor.h,23,30,0
jpype-v0.5.4.5,src/native/common/include/jp_object.h,36,48,0
jpype-v0.5.4.5,src/native/common/include/jp_objectbase.h,21,27,0
jpype-v0.5.4.5,src/native/common/include/jp_objecttypes.h,92,117,0
jpype-v0.5.4.5,src/native/common/include/jp_platform_linux.h,53,62,0
jpype-v0.5.4.5,src/native/common/include/jp_platform_win32.h,61,75,0
jpype-v0.5.4.5,src/native/common/include/jp_primitivetypes.h,298,365,0
jpype-v0.5.4.5,src/native/common/include/jp_proxy.h,47,62,0
jpype-v0.5.4.5,src/native/common/include/jp_reference.h,17,23,0
jpype-v0.5.4.5,src/native/common/include/jp_referencequeue.h,17,23,0
jpype-v0.5.4.5,src/native/common/include/jp_type.h,57,75,0
jpype-v0.5.4.5,src/native/common/include/jp_typemanager.h,38,50,0
jpype-v0.5.4.5,src/native/common/include/jp_typename.h,92,113,0
jpype-v0.5.4.5,src/native/common/include/jp_utility.h,117,141,0
jpype-v0.5.4.5,src/native/common/include/jpype.h,97,128,0
jpype-v0.5.4.5,src/native/python/include/jp_cocoatools.h,1,2,0
jpype-v0.5.4.5,src/native/python/include/jp_runloopstopper.h,14,18,0
jpype-v0.5.4.5,src/native/python/include/jpype_python.h,97,121,0
jpype-v0.5.4.5,src/native/python/include/py_class.h,46,57,0
jpype-v0.5.4.5,src/native/python/include/py_field.h,31,41,0
jpype-v0.5.4.5,src/native/python/include/py_hostenv.h,187,242,0
jpype-v0.5.4.5,src/native/python/include/py_method.h,43,56,0
jpype-v0.5.4.5,src/native/python/include/py_monitor.h,26,35,0
jpype-v0.5.4.5,src/native/python/include/pythonenv.h,265,308,0
jpype-v0.5.4.5,src/python/jpype/awt/__init__.py,17,17,0
jpype-v0.5.4.5,src/python/jpypex/swing/AbstractAction.py,47,61,0
jpype-v0.5.4.5,src/python/jpypex/swing/__init__.py,17,19,0
jpype-v0.5.4.5,src/python/jpypex/swing/pyutils.py,21,28,0
jpype-v0.5.4.5,test/harness/jpype/array/Test2.java,11,13,0
jpype-v0.5.4.5,test/harness/jpype/array/TestArray.java,41,48,0
jpype-v0.5.4.5,test/harness/jpype/attr/ClassWithBuffer.java,9,12,0
jpype-v0.5.4.5,test/harness/jpype/attr/Holder.java,21,22,0
jpype-v0.5.4.5,test/harness/jpype/attr/SubHolder.java,20,21,0
jpype-v0.5.4.5,test/harness/jpype/attr/Test1.java,93,114,0
jpype-v0.5.4.5,test/harness/jpype/attr/Test2.java,36,41,0
jpype-v0.5.4.5,test/harness/jpype/exc/ExceptionTest.java,44,47,0
jpype-v0.5.4.5,test/harness/jpype/exc/ExceptionThrower.java,21,22,0
jpype-v0.5.4.5,test/harness/jpype/mro/A.java,21,22,0
jpype-v0.5.4.5,test/harness/jpype/mro/B.java,20,21,0
jpype-v0.5.4.5,test/harness/jpype/mro/C.java,22,23,0
jpype-v0.5.4.5,test/harness/jpype/mro/D.java,20,21,0
jpype-v0.5.4.5,test/harness/jpype/mro/E.java,20,21,0
jpype-v0.5.4.5,test/harness/jpype/mro/F.java,20,21,0
jpype-v0.5.4.5,test/harness/jpype/nio/NioReceive.java,34,38,0
jpype-v0.5.4.5,test/harness/jpype/numeric/NumericTest.java,24,25,0
jpype-v0.5.4.5,test/harness/jpype/objectwrapper/Test1.java,39,45,0
jpype-v0.5.4.5,test/harness/jpype/proxy/ITestInterface2.java,22,25,0
jpype-v0.5.4.5,test/harness/jpype/proxy/ITestInterface3.java,21,22,0
jpype-v0.5.4.5,test/harness/jpype/proxy/Test3.java,54,60,0
jpype-v0.5.4.5,test/harness/jpype/ref/TestReferenceQeue.java,43,44,0
jpype-v0.5.4.5,test/harness/jpype/rmi/IServer.java,22,24,0
jpype-v0.5.4.5,test/harness/jpype/rmi/ServerImpl.java,48,59,0
jpype-v0.5.4.5,test/harness/jpype/serial/SerializationTest.java,19,21,0
jpype-v0.5.4.5,test/harness/jpype/xml/DelegateHandler.java,110,125,0
jpype-v0.5.4.5,src/python/jpype/awt/event/WindowAdapter.py,19,27,0
jpype-v0.5.4.5,src/python/jpype/awt/event/__init__.py,17,18,0
jpype-v0.5.5.1,.gitignore,7,7,0
jpype-v0.5.5.1,.travis.yml,14,28,0
jpype-v0.5.5.1,AUTHORS.rst,15,20,1
jpype-v0.5.5.1,LICENSE,137,167,0
jpype-v0.5.5.1,MANIFEST.in,5,13,3
jpype-v0.5.5.1,PKG-INFO,12,22,1
jpype-v0.5.5.1,README.rst,11,255,4
jpype-v0.5.5.1,dev-requirements.txt,2,2,0
jpype-v0.5.5.1,setup.py,142,960,13
jpype-v0.5.5.1,test-requirements.txt,1,0,0
jpype-v0.5.5.1,doc/CHANGELOG.rst,42,7,2
jpype-v0.5.5.1,doc/Makefile,149,177,0
jpype-v0.5.5.1,doc/conf.py,197,268,0
jpype-v0.5.5.1,doc/index.rst,20,47,1
jpype-v0.5.5.1,doc/install.rst,52,75,0
jpype-v0.5.5.1,doc/make.bat,213,242,0
jpype-v0.5.5.1,doc/userguide.rst,482,718,1
jpype-v0.5.5.1,examples/rmi.py,25,32,0
jpype-v0.5.5.1,test/buf_leak_test.py,18,29,0
jpype-v0.5.5.1,test/buf_leak_test3.py,41,56,0
jpype-v0.5.5.1,test/build.xml,16,18,0
jpype-v0.5.5.1,test/convtest.py,88,117,0
jpype-v0.5.5.1,test/findjvm.py,19,20,0
jpype-v0.5.5.1,test/java_dom.py,45,61,0
jpype-v0.5.5.1,test/java_sax.py,57,82,0
jpype-v0.5.5.1,test/lists_and_maps.py,22,31,0
jpype-v0.5.5.1,test/python_dom.py,40,52,0
jpype-v0.5.5.1,test/stub.py,22,23,0
jpype-v0.5.5.1,test/test_awt.py,12,16,0
jpype-v0.5.5.1,test/test_jarray_fixes.py,53,65,1
jpype-v0.5.5.1,test/testlucene.py,28,45,0
jpype-v0.5.5.1,test/testsuite.py,42,119,2
jpype-v0.5.5.1,examples/jms/README.TXT,33,40,0
jpype-v0.5.5.1,examples/jms/testJpypePublisher.py,27,35,0
jpype-v0.5.5.1,examples/jms/testJpypeSubscriber.py,35,42,0
jpype-v0.5.5.1,examples/linux/README.TXT,12,20,0
jpype-v0.5.5.1,examples/linux/findjvm.py,19,20,0
jpype-v0.5.5.1,examples/linux/jpype.sh,23,23,0
jpype-v0.5.5.1,test/jpypetest/__init__.py,16,20,1
jpype-v0.5.5.1,test/jpypetest/array.py,139,267,4
jpype-v0.5.5.1,test/jpypetest/attr.py,153,199,2
jpype-v0.5.5.1,test/jpypetest/common.py,34,50,1
jpype-v0.5.5.1,test/jpypetest/exc.py,78,100,3
jpype-v0.5.5.1,test/jpypetest/mro.py,21,32,1
jpype-v0.5.5.1,test/jpypetest/numeric.py,36,48,1
jpype-v0.5.5.1,test/jpypetest/objectwrapper.py,27,41,1
jpype-v0.5.5.1,test/jpypetest/properties.py,43,58,1
jpype-v0.5.5.1,test/jpypetest/proxy.py,68,94,1
jpype-v0.5.5.1,test/jpypetest/serial.py,42,69,1
jpype-v0.5.5.1,test/sample/big.xml,2136,2137,0
jpype-v0.5.5.1,src/native/common/jp_array.cpp,114,165,4
jpype-v0.5.5.1,src/native/common/jp_arrayclass.cpp,140,173,0
jpype-v0.5.5.1,src/native/common/jp_class.cpp,510,681,2
jpype-v0.5.5.1,src/native/common/jp_classbase.cpp,23,29,0
jpype-v0.5.5.1,src/native/common/jp_env.cpp,334,455,2
jpype-v0.5.5.1,src/native/common/jp_field.cpp,114,153,0
jpype-v0.5.5.1,src/native/common/jp_invocationhandler.cpp,53,54,0
jpype-v0.5.5.1,src/native/common/jp_javaenv.cpp,273,366,3
jpype-v0.5.5.1,src/native/common/jp_javaenv_autogen.cpp,1291,1768,1
jpype-v0.5.5.1,src/native/common/jp_jniutil.cpp,664,1190,2
jpype-v0.5.5.1,src/native/common/jp_method.cpp,203,241,1
jpype-v0.5.5.1,src/native/common/jp_methodoverload.cpp,270,363,1
jpype-v0.5.5.1,src/native/common/jp_monitor.cpp,23,30,0
jpype-v0.5.5.1,src/native/common/jp_object.cpp,87,115,1
jpype-v0.5.5.1,src/native/common/jp_objecttypes.cpp,316,492,1
jpype-v0.5.5.1,src/native/common/jp_platform_linux.cpp,18,26,0
jpype-v0.5.5.1,src/native/common/jp_platform_win32.cpp,18,25,0
jpype-v0.5.5.1,src/native/common/jp_primitivetypes.cpp,505,1285,2
jpype-v0.5.5.1,src/native/common/jp_primitivetypes_autogen.cpp,1108,1490,2
jpype-v0.5.5.1,src/native/common/jp_proxy.cpp,193,268,1
jpype-v0.5.5.1,src/native/common/jp_reference.cpp,50,50,0
jpype-v0.5.5.1,src/native/common/jp_referencequeue.cpp,98,99,0
jpype-v0.5.5.1,src/native/common/jp_typemanager.cpp,141,330,2
jpype-v0.5.5.1,src/native/common/jp_typename.cpp,135,271,1
jpype-v0.5.5.1,src/native/common/jp_voidtype.cpp,81,111,0
jpype-v0.5.5.1,src/native/python/jpype_javaarray.cpp,204,433,4
jpype-v0.5.5.1,src/native/python/jpype_javaclass.cpp,72,100,0
