Project,FileName,LOC,CodeChurn,PrevFixing
vlc-android-3.0.0,assets/images/svg/ic_am_information_pressed.svg,68,69,0
vlc-android-3.0.0,assets/images/svg/ic_am_playasaudio_normal.svg,67,68,0
vlc-android-3.0.0,assets/images/svg/ic_am_playasaudio_normal_w.svg,67,68,0
vlc-android-3.0.0,assets/images/svg/ic_am_playasaudio_pressed.svg,67,68,0
vlc-android-3.0.0,assets/images/svg/ic_am_playlist_down_normal_w.svg,80,81,0
vlc-android-3.0.0,assets/images/svg/ic_am_playlist_down_pressed.svg,80,81,0
vlc-android-3.0.0,assets/images/svg/ic_am_playlist_up_normal_w.svg,80,81,0
vlc-android-3.0.0,assets/images/svg/ic_am_playlist_up_pressed.svg,80,81,0
vlc-android-3.0.0,assets/images/svg/ic_am_renderer_normal_w.svg,81,82,0
vlc-android-3.0.0,assets/images/svg/ic_am_renderer_on_normal_w.svg,81,82,0
vlc-android-3.0.0,assets/images/svg/ic_am_renderer_on_pressed.svg,81,82,0
vlc-android-3.0.0,assets/images/svg/ic_am_renderer_pressed.svg,81,82,0
vlc-android-3.0.0,assets/images/svg/ic_am_ringtone_normal.svg,79,80,0
vlc-android-3.0.0,assets/images/svg/ic_am_ringtone_normal_w.svg,79,80,0
vlc-android-3.0.0,assets/images/svg/ic_am_ringtone_pressed.svg,79,80,0
vlc-android-3.0.0,assets/images/svg/ic_artist_big.svg,78,113,0
vlc-android-3.0.0,assets/images/svg/ic_audiodelay_normal.svg,85,86,0
vlc-android-3.0.0,assets/images/svg/ic_audiodelay_normal_o.svg,85,86,0
vlc-android-3.0.0,assets/images/svg/ic_audiodelay_normal_w.svg,85,86,0
vlc-android-3.0.0,assets/images/svg/ic_audiodelay_pressed.svg,85,86,0
vlc-android-3.0.0,assets/images/svg/ic_audiosub_circle_normal_o.svg,78,95,0
vlc-android-3.0.0,assets/images/svg/ic_audiosub_circle_pressed_o.svg,78,97,0
vlc-android-3.0.0,assets/images/svg/ic_auto_album_normal.svg,80,81,0
vlc-android-3.0.0,assets/images/svg/ic_auto_artist_normal.svg,80,81,0
vlc-android-3.0.0,assets/images/svg/ic_auto_audio_normal.svg,80,81,0
vlc-android-3.0.0,assets/images/svg/ic_auto_genre_normal.svg,80,81,0
vlc-android-3.0.0,assets/images/svg/ic_auto_history_normal.svg,80,81,0
vlc-android-3.0.0,assets/images/svg/ic_auto_playlist_normal.svg,80,81,0
vlc-android-3.0.0,assets/images/svg/ic_auto_repeat_normal.svg,81,82,0
vlc-android-3.0.0,assets/images/svg/ic_auto_repeat_one_pressed.svg,80,81,0
vlc-android-3.0.0,assets/images/svg/ic_auto_repeat_pressed.svg,80,81,0
vlc-android-3.0.0,assets/images/svg/ic_auto_shuffle_normal.svg,81,82,0
vlc-android-3.0.0,assets/images/svg/ic_auto_shuffle_pressed.svg,80,81,0
vlc-android-3.0.0,assets/images/svg/ic_browser_archive_big_normal.svg,84,107,0
vlc-android-3.0.0,assets/images/svg/ic_browser_archive_normal.svg,83,84,0
vlc-android-3.0.0,assets/images/svg/ic_browser_audio_big_normal.svg,67,88,0
vlc-android-3.0.0,assets/images/svg/ic_browser_audio_normal.svg,67,68,0
vlc-android-3.0.0,assets/images/svg/ic_browser_download_normal.svg,67,68,0
vlc-android-3.0.0,assets/images/svg/ic_browser_home_normal.svg,67,68,0
vlc-android-3.0.0,assets/images/svg/ic_browser_movies_normal.svg,67,68,0
vlc-android-3.0.0,assets/images/svg/ic_browser_music_normal.svg,68,69,0
vlc-android-3.0.0,assets/images/svg/ic_browser_podcasts_normal.svg,67,68,0
vlc-android-3.0.0,assets/images/svg/ic_browser_subtitle_big_normal.svg,68,85,0
vlc-android-3.0.0,assets/images/svg/ic_browser_subtitle_normal.svg,64,65,0
vlc-android-3.0.0,assets/images/svg/ic_browser_unknown_big_normal.svg,67,84,0
vlc-android-3.0.0,assets/images/svg/ic_browser_unknown_normal.svg,67,68,0
vlc-android-3.0.0,assets/images/svg/ic_browser_video_big_normal.svg,67,100,0
vlc-android-3.0.0,assets/images/svg/ic_browser_video_normal.svg,67,80,0
vlc-android-3.0.0,assets/images/svg/ic_chapter_normal.svg,89,90,0
vlc-android-3.0.0,assets/images/svg/ic_chapter_normal_w.svg,90,91,0
vlc-android-3.0.0,assets/images/svg/ic_chapter_pressed.svg,90,91,0
vlc-android-3.0.0,assets/images/svg/ic_checkbox_false_normal.svg,71,0,1
vlc-android-3.0.0,assets/images/svg/ic_checkbox_false_pressed.svg,71,22,1
vlc-android-3.0.0,assets/images/svg/ic_checkbox_partialy_normal.svg,78,0,1
vlc-android-3.0.0,assets/images/svg/ic_checkbox_partialy_pressed.svg,78,91,1
vlc-android-3.0.0,assets/images/svg/ic_checkbox_true_normal.svg,71,0,1
vlc-android-3.0.0,assets/images/svg/ic_checkbox_true_pressed.svg,71,32,1
vlc-android-3.0.0,assets/images/svg/ic_close_normal.svg,78,103,0
vlc-android-3.0.0,assets/images/svg/ic_close_normal_w.svg,63,76,0
vlc-android-3.0.0,assets/images/svg/ic_close_pressed.svg,78,93,0
vlc-android-3.0.0,assets/images/svg/ic_cone_o.svg,63,64,0
vlc-android-3.0.0,assets/images/svg/ic_crop_circle_normal_o.svg,89,218,0
vlc-android-3.0.0,assets/images/svg/ic_crop_circle_pressed_o.svg,78,235,0
vlc-android-3.0.0,assets/images/svg/ic_default_cone.svg,108,109,0
vlc-android-3.0.0,assets/images/svg/ic_equalizer_normal.svg,71,116,1
vlc-android-3.0.0,assets/images/svg/ic_equalizer_normal_w.svg,71,116,1
vlc-android-3.0.0,assets/images/svg/ic_equalizer_pressed.svg,71,72,0
vlc-android-3.0.0,assets/images/svg/ic_fab_add.svg,93,184,0
vlc-android-3.0.0,assets/images/svg/ic_fab_play.svg,101,210,0
vlc-android-3.0.0,assets/images/svg/ic_fab_shuffle.svg,110,237,0
vlc-android-3.0.0,assets/images/svg/ic_forward_circle_disable_o.svg,98,99,0
vlc-android-3.0.0,assets/images/svg/ic_forward_circle_normal_o.svg,98,99,0
vlc-android-3.0.0,assets/images/svg/ic_forward_circle_pressed_o.svg,98,99,0
