Variable,Coefficient,p-value
ASMRV,0.1067,0.1430
EILC,0.0835,0.2230
HCL,0.5511,0.9986
LRA,0.1112,0.0087
MMM,-0.1857,0.0596
NCOE,-0.0922,0.1032
NHE,0.1225,0.0132
NURP,0.0398,0.2744
PEO,-0.0253,0.6300
TMC,0.2626,0.0000
TMS,0.0419,0.3156
UNMD,-0.0933,0.0713
UNMI,0.1117,0.0297
UP,-0.1093,0.2728
NSL,NA,NA
