Variable,Coefficient,Odds Ratio,p-value,95% CI
const,-1.3436736701821332,0.2608854987089139,0.9991160179925594,"(0.0000, inf)"
EILC,0.7560777660970153,2.1299058270620805,0.09221237140494416,"(0.8834, 5.1353)"
MMM,-4.978610924361957,0.006883617785259876,0.9990269060171449,"(0.0000, inf)"
NCOE,0.22909542896065127,1.257462031579097,0.640371566444364,"(0.4809, 3.2878)"
NHE,-0.3490953660183163,0.7053258629433324,0.5162948285546981,"(0.2458, 2.0240)"
PEO,-0.05479466157907788,0.9466795176742937,0.7796798587338007,"(0.6449, 1.3897)"
TMC,0.18270734890585094,1.2004630398470928,0.5954575583885238,"(0.6116, 2.3565)"
TMS,-0.35732027271688127,0.6995484155811782,0.14096810548170857,"(0.4347, 1.1257)"
UNMD,3.0976777121098737,22.146461058696154,0.9992760529605548,"(0.0000, inf)"
UP,-2.701824501054106,0.0670830079999107,0.9994821700778165,"(0.0000, inf)"
